threshold,recall,specificity,precision,f1,accuracy,tn,fp,fn,tp,profit,meets_recall,meets_specificity,meets_both,model,config,min_tpr_tnr
0.6799999999999997,0.4439979909593169,0.9199600513625339,0.611764705882353,0.5145518044237486,0.8146666666666667,6448,561,1107,884,-9008600,False,True,False,XGB,SPW=3.52,0.4439979909593169
0.6899999999999997,0.4289301858362632,0.9250963047510344,0.6192893401015228,0.5068249258160237,0.8153333333333334,6484,525,1137,854,-9324200,False,True,False,XGB,SPW=3.52,0.4289301858362632
0.6999999999999996,0.41687594173782017,0.9300898844342987,0.6287878787878788,0.5013591060102688,0.8165555555555556,6519,490,1161,830,-9574200,False,True,False,XGB,SPW=3.52,0.41687594173782017
0.7099999999999996,0.4058262179809141,0.9339420744756741,0.6357199055861527,0.49540159411404056,0.8171111111111111,6546,463,1183,808,-9805400,False,True,False,XGB,SPW=3.52,0.4058262179809141
0.7199999999999996,0.39578101456554493,0.9369382222856327,0.640650406504065,0.4892890406705992,0.8172222222222222,6567,442,1203,788,-10017000,False,True,False,XGB,SPW=3.52,0.39578101456554493
0.7299999999999996,0.38623807132094423,0.9390783278641747,0.6429765886287625,0.4825855036084091,0.8167777777777778,6582,427,1222,769,-10220000,False,True,False,XGB,SPW=3.52,0.38623807132094423
0.7399999999999997,0.3746860873932697,0.9416464545584249,0.6458874458874458,0.4742530197075651,0.8162222222222222,6600,409,1245,746,-10465800,False,True,False,XGB,SPW=3.52,0.3746860873932697
0.7499999999999997,0.36966348568558516,0.9446426023683835,0.6548042704626335,0.4725521669341894,0.8174444444444444,6621,388,1255,736,-10567400,False,True,False,XGB,SPW=3.52,0.36966348568558516
0.7599999999999997,0.3616273229532898,0.9476387501783421,0.6623735050597976,0.46783625730994155,0.818,6642,367,1271,720,-10735000,False,True,False,XGB,SPW=3.52,0.3616273229532898
0.7699999999999997,0.35359116022099446,0.9493508346411756,0.6647780925401322,0.46163934426229514,0.8175555555555556,6654,355,1287,704,-10906200,False,True,False,XGB,SPW=3.52,0.35359116022099446
0.7799999999999997,0.34455047714716225,0.9522043087458981,0.6718903036238981,0.4555112881806108,0.8177777777777778,6674,335,1305,686,-11096200,False,True,False,XGB,SPW=3.52,0.34455047714716225
